--Loading Data mm-dd-yyyy.txt
USE [TestDB2];
GO

ALTER TABLE Employee NOCHECK CONSTRAINT ALL;

-- Add Department data
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D22', 22, N'Sales', N'quad gravis et egreddior fecundio, et parte quis plorum et apparens trepicandor parte Sed Versus plurissimum regit,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D28', 63, N'Marketing', N'non quo rarendum cognitio, si manifestum si homo, eudis et habitatio fecundio, manifestum eggredior. quad dolorum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D44', 23, N'Human Resources', N'essit. vobis non egreddior glavans vantis. et funem. fecit. transit. bono Quad quoque et funem. et ut pars volcans quo, in quoque gravis')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D53', 48, N'Customer Service', N'quantare fecit. linguens Sed Longam, estis estis volcans funem. estum. imaginator rarendum volcans travissimantor apparens')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D56', 34, N'IT', N'quo plurissimum volcans gravis e funem. in glavans ut quad plorum travissimantor estum. e gravis quo,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D57', 40, N'Operational', N'et e funem. et delerium. egreddior pars et quad et quantare apparens gravum apparens quad dolorum quantare non')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D6 ', 38, N'Administrative', N'quartu quad ut quad pars fecit. quantare quo, vobis trepicandor nomen non esset Id in quis plurissimum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D75', 49, N'Production', N'quad egreddior manifestum Sed et venit. vobis nomen travissimantor quartu Sed egreddior transit. quad nomen quad')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D89', 29, N'Social', N'et travissimantor quo apparens plorum fecit, ut non Longam, et funem. plurissimum travissimantor quo')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D96', 55, N'TOP SECRET', N'novum nomen Versus Longam, non pladior travissimantor transit. quad dolorum dolorum egreddior in quis quad')
GO

-- Add Employee data
SET IDENTITY_INSERT [dbo].[Employee] ON 
GO
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (1, N'D75', N'Angie', N'Fuller','06-17-2010', N'Q06SSYOAPDT0T9NEZJQJAWIJDM9RS2H2SYCENK8GLUPFZFKO8YHG4',0,'06-07-2015','07-13-2010')
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (28, N'D6 ', N'Timmy', N'Clark','12-02-2006', N'ZAF72ZI41DVWB1JD2U4BHLMNGRQOT5OB6DSOTNJM5812I8SXU2D13LKDOSQA9UBWPJPY8UJE',0,'08-18-2015','12-05-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (29, N'D57', N'Rebekah', N'Matthews','12-17-2002', N'I58JJ47YSTQRM7LTE01W8CBX5CYJUOZIZRLFCT4NJCH0K53C45UTIH',1,'05-27-2015','01-03-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (30, N'D22', N'Joseph', N'Dunn','01-03-2016', N'5UAE76O43T7RUM5GLWDDWVACZ9MEPU6ZIQGK1EWHU7D6DD8PYO9X4349JYFYJ9E8N7946KF6Z',0,'07-05-2015','01-09-2016')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (31, N'D28', N'Candy', N'Benson','06-03-2008', N'IPH4ZM',1,'01-04-2016','06-08-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (32, N'D56', N'Ana', N'Braun','03-08-1996', N'WG1L8VEL613ZYXKS5I543JD92X8KFRFYTXNTDMFCUJZJC60ZYWCLUHXC2SIAMT5EL4619REI3S',0,'01-12-2015','03-16-1996')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (33, N'D44', N'Judy', N'Banks','11-13-2007', N'KKUWWX8MJFT4BZARL44P1DKY7ZZP7HUI18DS8VMDE7MZR0V1ZZTEY276',1,'02-08-2016','11-21-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (34, N'D96', N'Dana', N'Buck','12-24-2009', N'V',0,'01-16-2016','01-18-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (35, N'D6 ', N'Kristy', N'Oliver','09-15-2005', N'WXIF1KB32MHJQHQBUQL674',1,'10-21-2015','10-14-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (36, N'D75', N'Ericka', N'May','04-03-1998', N'Q7OGK',1,'07-22-2015','04-17-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (37, N'D22', N'Billy', N'Herman','01-19-2005', N'06T',1,'01-27-2015','02-14-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (38, N'D53', N'Shannon', N'Santos','03-31-2015', N'5QFVRLFGWSFHG2W7RDGDPIS0S7C3Q42FN7LRAF245PABI8RMKC',1,'01-03-2015','04-20-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (39, N'D53', N'Clarence', N'Chapman','03-28-2000', N'MQFMNXF3J8BPRQZT9H5WCAB7Z7GHJGQJEYFO7KXTVBJWU0IKIEI4EFUBF8NFG',0,'02-16-2016','03-30-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (40, N'D96', N'Shad', N'Powell','04-20-2007', N'J3H',0,'06-14-2015','05-17-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (41, N'D57', N'Jesus', N'Irwin','04-13-2008', N'BTBAMPJB10REDZPVY',1,'03-30-2016','05-06-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (42, N'D75', N'Randolph', N'Hill','05-16-1998', N'XM4Y339ZWICWSFE2PO98STL3DUK0UOQKZE5VMCP71MS1Y48C0A90MQC411L9J847',0,'03-11-2015','05-28-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (43, N'D28', N'Donnell', N'Leach','07-02-1997', N'SXDAIGDY1760J58L7',1,'01-02-2015','07-19-1997')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (44, N'D44', N'James', N'Lloyd','11-28-2005', N'',0,'03-06-2016','11-29-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (45, N'D96', N'Clint', N'Acosta','10-09-2013', N'EPY810ULRGOSHK967U1IUW1KJ64HVCNB',0,'08-10-2015','10-09-2013')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (46, N'D75', N'Brandy', N'Carpenter','06-06-1992', N'KS2TOB9NUMIDEOF9Z1R5HPINEPUWDQESCJXS7CIISV0AJ64IO8WAW5RU',0,'12-01-2015','06-24-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (47, N'D53', N'Roy', N'Rocha','03-22-1992', N'EFZGCA47Q0VRN1MI8DMP747KC85T4V7R2HTXI1FKW3S69R06ARNR5',0,'02-17-2015','04-04-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (48, N'D56', N'Philip', N'Wilcox','09-29-2004', N'397F444A2UT3O68O07Y1T4B1BL7ZJC8FMYEJP3XBFL0YC52UXLRGT3AYX64IW5RQMD',0,'10-04-2015','10-17-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (49, N'D28', N'Joseph', N'Gibbs','02-12-2005', N'QSOZW9NL83DO5ID1YLRLINFLJZEEAUABZNC18M',0,'01-31-2016','03-13-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (50, N'D44', N'Erik', N'Travis','05-26-1992', N'66I2VKIYZI4',1,'08-11-2015','06-13-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (51, N'D56', N'Garrett', N'Solomon','02-11-2012', N'5URZ2C2FXV8BDT1',1,'03-28-2015','02-20-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (52, N'D75', N'Lloyd', N'Abbott','01-07-1991', N'H6BTCQKF0KJ110EV615G7O',0, '03-28-2015','02-01-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (53, N'D6 ', N'Stephan', N'Cooke','01-26-2009', N'P56WBX6O2ISHT7AGE9CZIT1EXGD5COKHTWMN5T9HTWHI8JLOVLQ6VPRV',1,'06-27-2015','02-14-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (54, N'D56', N'Grace', N'Orr','02-16-2014', N'SZUK1CDXANWKNAL0U5MBI5EVOAQXEM35QIDUEXRJ3LXVO47A560J5KMMLZVRLGJOKQ',1,'02-17-2016','03-10-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (55, N'D28', N'Marissa', N'Potts','10-25-1990', N'5XQLWE27W8I6K',1,'08-30-2015','11-18-1990')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (56, N'D89', N'Mickey', N'Mejia','01-14-2009', N'GS7LJ06WR8F10XN19AXA2CEK452DPD2SBO4OC20QN95I6VE4JVY89904DMHEYT6D6NPBT',1,'10-15-2015','02-08-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (57, N'D89', N'Karl', N'Phelps','12-19-2008', N'P',0,'09-11-2015','12-25-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (58, N'D75', N'Darla', N'Mc Mahon','05-25-1994', N'A7NT6WE9RXTTFUJ2N0APKLRU2SBI52BK6RX1L7XH78N1ZCYC4NOSOZMOGTQE',0,'02-13-2015','06-10-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (59, N'D89', N'Justin', N'Potter','11-07-2003', N'W4OL8NNWHGG3THBYQUPTZEHEJV649LR',0, '02-13-2015','12-06-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (60, N'D6 ', N'Tia', N'Hurley','02-21-2006', N'IWB4YFRPBFM77OVHAQPZ1LLHMA1CHINWOZLW67ZA',1,'04-09-2015','03-18-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (61, N'D6 ', N'Krystal', N'Tucker','01-10-1994', N'0IJSA6UZOTIVSFXAUHODE7SSQI83ZB3QEW022OC47CSO40WJNLCPBXOSQQ2SXR0DQSHVEU',1,'02-02-2016','01-16-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (62, N'D44', N'Chad', N'Scott','09-02-2012', N'55J61E3OPLPFDZDEH88CCMK6GCFYBI04TE6JRQMDM2C67BNDCDZM6HVILCQ',0,'01-19-2015','09-07-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (63, N'D89', N'Marianne', N'Waters','11-06-2007', N'Z5C6LKMZSUNRLUPAADY4O1',1,'03-31-2015','11-23-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (64, N'D89', N'Forrest', N'Cisneros','05-26-1994', N'YJEYBIOYEZXEHP5LMPOLIQ81BSL87D',0,'06-08-2015','06-08-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (65, N'D22', N'Lorena', N'Golden','01-04-2007', N'1XJEN6MAG4W8ROG8K4SCFZG28ACMJ',0,'06-12-2015','01-23-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (66, N'D89', N'Lana', N'Mcgrath','11-25-2000', N'FQ0EWG',1,'02-25-2015','12-04-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (67, N'D28', N'Javier', N'Cooley','06-25-1999', N'BHE0E',1,'10-22-2015','07-21-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (68, N'D6 ', N'Rachel', N'Compton','12-29-2004', N'HMHHCVJ03E161HG5DU0RJO57DRZA9NEB0RZGQT0QZWCBY7UZG54KZNOSGA',0,'01-16-2016','01-04-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (69, N'D89', N'Latonya', N'Briggs','03-16-2008', N'KW8RG0P5AH0FKTARNCU85X0U3IUCD26ZGPFUQ5VB82KHGQKQOV1GM1YNVENY5DR7A0Z',1,'08-15-2015','03-27-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (70, N'D44', N'Rhonda', N'Kirk','04-08-1996', N'EG1IHJZ3DI',0,'09-12-2015','05-03-1996')

